Date,Price,Open,High,Low,Vol.,Change %
12/11/2023,0.1428,0.1535,0.1535,0.1411,14.92M,-6.05%
12/8/2023,0.152,0.1524,0.1533,0.1508,1.62M,-0.13%
12/7/2023,0.1522,0.1519,0.1535,0.1497,5.27M,0.07%
12/6/2023,0.1521,0.1561,0.1563,0.1511,8.74M,-2.56%
12/5/2023,0.1561,0.1564,0.1564,0.1507,15.24M,-0.26%
12/4/2023,0.1565,0.1603,0.1638,0.1558,11.20M,-4.28%
12/1/2023,0.1635,0.1625,0.168,0.1603,10.46M,1.55%
11/30/2023,0.161,0.1641,0.1641,0.1602,7.08M,-1.83%
11/29/2023,0.164,0.1629,0.1661,0.1618,8.03M,1.49%
11/28/2023,0.1616,0.1655,0.1671,0.1609,9.53M,-1.88%
11/27/2023,0.1647,0.1703,0.1704,0.1603,15.07M,-3.23%
11/24/2023,0.1702,0.1744,0.1745,0.1684,13.30M,-2.24%
11/23/2023,0.1741,0.1759,0.1768,0.17,7.00M,-1.25%
11/22/2023,0.1763,0.1715,0.1766,0.1711,11.23M,2.38%
11/21/2023,0.1722,0.1708,0.1755,0.1708,4.50M,0.82%
11/20/2023,0.1708,0.1727,0.1735,0.17,4.75M,-0.12%
11/17/2023,0.171,0.1725,0.1727,0.165,10.91M,-0.93%
11/16/2023,0.1726,0.1729,0.1776,0.1713,8.32M,0.82%
11/15/2023,0.1712,0.1688,0.1758,0.1659,14.20M,3.07%
11/14/2023,0.1661,0.1832,0.19,0.1564,84.65M,-10.51%
11/13/2023,0.1856,0.1867,0.1898,0.1737,45.40M,0.81%
11/10/2023,0.1841,0.1801,0.191,0.1771,49.07M,3.20%
11/9/2023,0.1784,0.1831,0.1845,0.1783,11.58M,-2.46%
11/8/2023,0.1829,0.1852,0.1882,0.1819,15.58M,-1.24%
11/7/2023,0.1852,0.1818,0.194,0.1818,57.24M,2.55%
11/6/2023,0.1806,0.185,0.1893,0.1777,46.25M,-2.38%
11/3/2023,0.185,0.1716,0.1987,0.1716,307.22M,7.81%
11/2/2023,0.1716,0.172,0.1747,0.1716,6.87M,0.23%
11/1/2023,0.1712,0.1728,0.1737,0.1712,1.75M,-0.47%
10/31/2023,0.172,0.1745,0.1746,0.171,8.83M,-1.43%
10/30/2023,0.1745,0.1777,0.1798,0.1733,10.44M,-1.41%
10/27/2023,0.177,0.1801,0.1803,0.175,14.25M,-0.11%
10/26/2023,0.1772,0.1817,0.1826,0.1772,6.55M,-2.37%
10/25/2023,0.1815,0.1828,0.1828,0.1803,3.73M,0.06%
10/24/2023,0.1814,0.1802,0.1825,0.1801,9.95M,0.39%
10/23/2023,0.1807,0.1811,0.1823,0.1803,3.96M,-0.17%
10/20/2023,0.181,0.1818,0.1874,0.18,18.25M,-1.31%
10/19/2023,0.1834,0.1825,0.1834,0.18,6.89M,0.66%
10/18/2023,0.1822,0.1796,0.1836,0.1796,9.67M,0.94%
10/17/2023,0.1805,0.1809,0.1855,0.1761,22.38M,-0.66%
10/16/2023,0.1817,0.1782,0.1819,0.1773,8.51M,1.11%
10/13/2023,0.1797,0.182,0.1826,0.175,32.32M,-1.48%
10/12/2023,0.1824,0.1832,0.1872,0.1806,18.24M,-0.55%
10/11/2023,0.1834,0.1869,0.1878,0.181,11.50M,-1.87%
10/10/2023,0.1869,0.1856,0.1877,0.1835,8.28M,-0.43%
10/9/2023,0.1877,0.1859,0.1878,0.1807,10.02M,0.32%
10/6/2023,0.1871,0.19,0.1928,0.1825,25.30M,-1.37%
10/5/2023,0.1897,0.1917,0.192,0.1892,5.51M,-0.78%
10/4/2023,0.1912,0.191,0.1936,0.1902,9.69M,0.16%
10/3/2023,0.1909,0.1926,0.1958,0.1885,18.21M,-0.99%
10/2/2023,0.1928,0.1958,0.1969,0.1921,11.96M,-2.08%
9/29/2023,0.1969,0.198,0.1981,0.1961,4.47M,-0.10%
9/28/2023,0.1971,0.1996,0.2002,0.1964,4.41M,-0.50%
9/27/2023,0.1981,0.1991,0.1996,0.1962,8.47M,-0.15%
9/26/2023,0.1984,0.1917,0.2028,0.1892,31.21M,3.44%
9/25/2023,0.1918,0.1918,0.1938,0.1884,13.10M,0.00%
9/22/2023,0.1918,0.1914,0.1951,0.187,8.09M,0.00%
9/21/2023,0.1918,0.2001,0.2022,0.1915,6.11M,-3.28%
9/20/2023,0.1983,0.2038,0.2038,0.1805,33.13M,-2.27%
9/19/2023,0.2029,0.2038,0.2038,0.1981,22.63M,-0.20%
9/18/2023,0.2033,0.2025,0.2038,0.1981,23.57M,1.19%
9/15/2023,0.2009,0.1982,0.2026,0.193,16.77M,0.70%
9/14/2023,0.1995,0.2018,0.202,0.1919,58.67M,-0.94%
9/13/2023,0.2014,0.2003,0.2037,0.2,21.17M,0.60%
9/12/2023,0.2002,0.1997,0.2045,0.1981,21.00M,0.15%
9/11/2023,0.1999,0.2044,0.2057,0.1991,26.28M,-1.58%
9/8/2023,0.2031,0.2046,0.2075,0.1971,58.90M,0.69%
9/7/2023,0.2017,0.217,0.2294,0.199,321.51M,1.92%
9/6/2023,0.1979,0.1988,0.202,0.196,21.82M,-0.15%
9/5/2023,0.1982,0.2025,0.2025,0.1957,78.95M,-1.44%
9/4/2023,0.2011,0.2038,0.2046,0.1998,50.15M,-0.89%
9/1/2023,0.2029,0.2014,0.2045,0.1981,40.18M,0.95%
8/31/2023,0.201,0.2004,0.2046,0.1986,39.71M,0.30%
8/30/2023,0.2004,0.2132,0.2295,0.196,493.90M,3.41%
8/29/2023,0.1938,0.1958,0.1958,0.1902,33.10M,-0.05%
8/28/2023,0.1939,0.1948,0.1995,0.1891,46.84M,-0.10%
8/25/2023,0.1941,0.1976,0.1977,0.193,26.71M,-1.72%
8/24/2023,0.1975,0.1946,0.201,0.1845,65.11M,1.18%
